264300	17-BETA HYDROXYSTEROID DEHYDROGENASE III DEFICIENCY	C0268296	Testosterone 17-beta-dehydrogenase deficiency
605911	3-HYDROXY-3-METHYLGLUTARYL-CoA SYNTHASE-2 DEFICIENCY; HMGCS2D	C2751532	mitochondrial 3-hydroxy-3-methylglutaryl-CoA synthase deficiency
231530	3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY	C1291230	Deficiency of 3-hydroxyacyl-CoA dehydrogenase
210200	3-METHYLCROTONYL-CoA CARBOXYLASE 1 DEFICIENCY; MCC1D	CN028786	3 Methylcrotonyl-CoA carboxylase 1 deficiency
210210	3-METHYLCROTONYL-CoA CARBOXYLASE 2 DEFICIENCY; MCC2D	C1859499	3-methylcrotonyl CoA carboxylase 2 deficiency
250950	3-METHYLGLUTACONIC ACIDURIA, TYPE I; MGCA1	C0342727	3-Methylglutaconic aciduria type 1
258501	3-METHYLGLUTACONIC ACIDURIA, TYPE III; MGCA3	C0574084	3-Methylglutaconic aciduria type 3
278850	46,XX SEX REVERSAL 2; SRXX2	C2749215	46,XX sex reversal 2
100100	PRUNE BELLY SYNDROME; PBS	C0033770	Prune belly syndrome
300262	ABIDI X-LINKED MENTAL RETARDATION SYNDROME; MRXSAB	C1846056	Abidi X-linked mental retardation syndrome
200170	ACANTHOSIS NIGRICANS WITH MUSCLE CRAMPS AND ACRAL ENLARGEMENT	C1860215	Acanthosis nigricans with muscle cramps and acral enlargement
604290	ACERULOPLASMINEMIA	C0878682	Deficiency of ferroxidase
142700	DEVELOPMENTAL DYSPLASIA OF THE HIP 1; DDH1	C1306065	Developmental dysplasia of the hip 1
100675	ACETAMINOPHEN METABOLISM	C1863486	Acetaminophen metabolism
231550	ACHALASIA-ADDISONIANISM-ALACRIMA SYNDROME; AAAS	C0271742	Glucocorticoid deficiency with achalasia
200450	ACHALASIA-MICROCEPHALY SYNDROME	C1860212	Achalasia microcephaly syndrome
200600	ACHONDROGENESIS, TYPE IA; ACG1A	C0265273	Achondrogenesis, type IA
200950	ACID PHOSPHATASE DEFICIENCY	C0268410	Acid phosphatase deficiency
607778	ACROCAPITOFEMORAL DYSPLASIA; ACFD	C1843096	Acrocapitofemoral dysplasia
201050	ACROCRANIOFACIAL DYSOSTOSIS	C1860145	Kaplan Plauchu Fitch syndrome
201170	ACROFACIAL DYSOSTOSIS SYNDROME OF RODRIGUEZ	C1860119	Acrofacial dysostosis Rodriguez type
101805	ACROFACIAL DYSOSTOSIS, CATANIA TYPE	C2931762	Acrofacial dysostosis, catania type
