#ClinGen Region Curation Results
#31 Jan,2020
#Genomic Locations are reported on GRCh38 (hg38): GCF_000001405.36
#https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen
#to create link: https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_region.cgi?id=key
#ISCA ID	ISCA Region Name	cytoBand	Genomic Location	Haploinsufficiency Score	Haploinsufficiency Description	Haploinsufficiency PMID1	Haploinsufficiency PMID2	Haploinsufficiency PMID3	Triplosensitivity Score	Triplosensitivity Description	Triplosensitivity PMID1	Triplosensitivity PMID2	Triplosensitivity PMID3	Date Last Evaluated	Loss phenotype OMIM ID	Triplosensitive phenotype OMIM ID
ISCA-46300	15q24 recurrent region (C-D) (includes SIN3A)		chr15:75339446-75680568	3	Sufficient evidence for dosage pathogenicity	27399968	22180641		0	No evidence available				2020-01-13	613406	
ISCA-46299	Xp11.22 region (includes HUWE1)	Xp11.22	tbd	0	No evidence available				3	Sufficient evidence for dosage pathogenicity	22840365	20655035	26692240	2018-11-19		
ISCA-46298	13q12.12 recurrent region (includes SACS and SGCG)	13q12.12	chr13:22970443-24307222	30	Gene associated with autosomal recessive phenotype				0	No evidence available	23239789			2019-11-03	270550,253700	
ISCA-46297	16p12.2 recurrent region (includes OTOA) (distal region)	16p12.2	chr16:21558792-21729102	30	Gene associated with autosomal recessive phenotype				40	Dosage sensitivity unlikely				2019-11-03	607039	
ISCA-46296	15q24 recurrent region (A-C)	15q24.1-q24.2	chr15:72671374-75215971	3	Sufficient evidence for dosage pathogenicity	22180641	19921647		1	Little evidence for dosage pathogenicity	19557438	20860070		2020-01-03		
ISCA-46295	15q13.3 recurrent region (D-CHRNA7 to BP5) (includes CHRNA7 and OTUD7A)	15q13.3	chr15:31727418-32153204	3	Sufficient evidence for dosage pathogenicity	19898479	20236110	22775350	40	Dosage sensitivity unlikely	26968334	22420048		2018-05-10		
ISCA-46291	7q11.23 recurrent distal region (includes HIP1, YWHAG)	7q11.23	chr7:75528718-76433859	2	Some evidence for dosage pathogenicity	21109226	16971481		1	Little evidence for dosage pathogenicity	21109226	27867344		2018-12-31		
ISCA-46290	Xp11.22p11.23 recurrent region (includes SHROOM4)	Xp11.22-p11.23	chrX: 48447780-52444264	0	No evidence available				3	Sufficient evidence for dosage pathogenicity	19716111	21418194	25425167	2017-12-14		300801
ISCA-46288	2q21.1 recurrent region (includes ARHGEF4, GPR148)	2q21.1	chr2:130719936-131172120	1	Little evidence for dosage pathogenicity	22543972	24591035	25661985	0	No evidence available	22543972			2019-09-30		
ISCA-46287	2p24.3 MYCN-DDX1 duplication region	2p24.3	chr2:15568553-16045215						2	Some evidence for dosage pathogenicity	27794475	24161495	23401364	2017-08-07		
ISCA-37516	22q11.2 recurrent region (central, B/C-D) (includes CRKL)	22q11.21	chr22:20377696-21111383	2	Some evidence for dosage pathogenicity	25123976	22893440	26278718	1	Little evidence for dosage pathogenicity	22796526	18414210	19490635	2017-09-14		
ISCA-37501	17q23.1q23.2 recurrent region (includes TBX2, TBX4)	17q23.1-q23.2	chr17:60035641-62198448	3	Sufficient evidence for dosage pathogenicity	20206336	22052739		2	Some evidence for dosage pathogenicity	20598276	24592505		2018-11-19	613355	
ISCA-37500	15q25.2 recurrent region (LCR B-C, proximal)	15q25.2	chr15:82534140-84045981	3	Sufficient evidence for dosage pathogenicity	24352913	23166063	17847001	0	No evidence available				2016-10-13	614294	
ISCA-37498	11q13.2q13.4 recurrent region (includes SHANK2, FGFs)	11q13.2-q13.4	chr11:67996175-71525885	2	Some evidence for dosage pathogenicity	21373257	28211979		0	No evidence available				2018-01-26		
